code,f1,precision,recall,support
M17.00,1.0,1.0,1.0,24
M17.40,1.0,1.0,1.0,15
M17.10,0.972972972972973,0.9473684210526315,1.0,18
M10.33,0.9642857142857143,0.9310344827586207,1.0,27
I13.0,0.9491525423728814,0.9655172413793104,0.9333333333333333,30
A12.50,0.9411764705882353,1.0,0.8888888888888888,9
M17.20,0.9285714285714286,0.8666666666666667,1.0,13
E78.5,0.9069767441860465,0.8297872340425532,1.0,39
B13.00,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
Z91.81,0.8468468468468469,0.8867924528301887,0.8103448275862069,58
I50.32,0.8108108108108109,0.8823529411764706,0.75,20
D07.00,0.8,0.6666666666666666,1.0,4
N18.2,0.7586206896551724,1.0,0.6111111111111112,18
I70.0,0.717948717948718,0.7368421052631579,0.7,20
Z55.6,0.7142857142857143,0.6451612903225806,0.8,25
I10,0.6829268292682927,0.7,0.6666666666666666,21
K21.9,0.6808510638297872,0.7619047619047619,0.6153846153846154,26
Z99.89,0.6666666666666666,0.75,0.6,5
M62.81,0.6530612244897959,0.5333333333333333,0.8421052631578947,19
I67.9,0.5853658536585366,0.75,0.48,25
N18.31,0.5806451612903226,0.8181818181818182,0.45,20
I25.10,0.5652173913043478,0.5909090909090909,0.5416666666666666,24
E11.22,0.5517241379310345,0.8888888888888888,0.4,20
R26.81,0.5517241379310345,0.8,0.42105263157894735,19
E26.1,0.5217391304347826,0.5454545454545454,0.5,12
Z79.01,0.42424242424242425,0.5384615384615384,0.35,20
Z79.899,0.4,0.4444444444444444,0.36363636363636365,11
Z60.4,0.4,1.0,0.25,12
R41.841,0.4,1.0,0.25,8
I50.9,0.3333333333333333,0.3333333333333333,0.3333333333333333,6
I73.9,0.15384615384615385,0.5,0.09090909090909091,11
Z87.440,0.13333333333333333,1.0,0.07142857142857142,14
Z79.82,0.125,1.0,0.06666666666666667,15
E03.9,0.06451612903225806,1.0,0.03333333333333333,30
G30.1,0.0,0.0,0.0,15
G31.1,0.0,0.0,0.0,25
G89.29,0.0,0.0,0.0,17
M81.0,0.0,0.0,0.0,18
Z99.3,0.0,0.0,0.0,14
G47.00,0.0,0.0,0.0,14
Z99.81,0.0,0.0,0.0,12
J44.9,0.0,0.0,0.0,11
G47.33,0.0,0.0,0.0,10
Z79.84,0.0,0.0,0.0,13
G62.9,0.0,0.0,0.0,11
I12.9,0.0,0.0,0.0,6
F32.A,0.0,0.0,0.0,12
F41.9,0.0,0.0,0.0,10
I13.10,0.0,0.0,0.0,13
F41.1,0.0,0.0,0.0,12
Z87.891,0.0,0.0,0.0,12
I48.0,0.0,0.0,0.0,10
M19.90,0.0,0.0,0.0,10
B20.0,0.0,0.0,0.0,11
B12,0.0,0.0,0.0,8
I27.20,0.0,0.0,0.0,11
Z86.73,0.0,0.0,0.0,7
F33.1,0.0,0.0,0.0,11
I87.2,0.0,0.0,0.0,3
M15.0,0.0,0.0,0.0,11
K59.00,0.0,0.0,0.0,6
E11.51,0.0,0.0,0.0,10
E78.2,0.0,0.0,0.0,11
N40.0,0.0,0.0,0.0,10
E55.9,0.0,0.0,0.0,5
R26.89,0.0,0.0,0.0,8
N18.32,0.0,0.0,0.0,6
N18.9,0.0,0.0,0.0,6
I48.91,0.0,0.0,0.0,6
G31.84,0.0,0.0,0.0,7
Z79.4,0.0,0.0,0.0,8
D63.1,0.0,0.0,0.0,12
R29.6,0.0,0.0,0.0,6
J96.11,0.0,0.0,0.0,7
Z46.6,0.0,0.0,0.0,10
M15.9,0.0,0.0,0.0,11
D68.69,0.0,0.0,0.0,5
E11.42,0.0,0.0,0.0,6
Z79.891,0.0,0.0,0.0,6
R26.2,0.0,0.0,0.0,3
E11.9,0.0,0.0,0.0,7
N40.1,0.0,0.0,0.0,6
N32.81,0.0,0.0,0.0,8
E66.01,0.0,0.0,0.0,5
Z79.51,0.0,0.0,0.0,8
N39.0,0.0,0.0,0.0,4
I89.0,0.0,0.0,0.0,10
Z79.2,0.0,0.0,0.0,7
F03.90,0.0,0.0,0.0,4
E11.69,0.0,0.0,0.0,4
E11.65,0.0,0.0,0.0,6
M54.50,0.0,0.0,0.0,2
Z74.1,0.0,0.0,0.0,4
I25.2,0.0,0.0,0.0,8
M48.061,0.0,0.0,0.0,6
H40.9,0.0,0.0,0.0,6
D50.9,0.0,0.0,0.0,4
Z86.718,0.0,0.0,0.0,7
G20.A1,0.0,0.0,0.0,2
D18.3,0.0,0.0,0.0,6
